Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"8564-1","Bionicle","Bohrok",2002,"Lehvak",,41,4.99,8,,,5702014152762,673419015608,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,83.9700,13.7800,"01/03/2002","31/12/2002"
"8565-1","Bionicle","Bohrok",2002,"Kohrak",,41,4.99,8,,,,673419015615,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,80.0000,13.9000,"01/03/2002","31/12/2002"
"8566-1","Bionicle","Toa Nuva",2002,"Onua Nuva",,41,4.99,8,,,5702014167087,,8.8,18.4,8.8,,"",1,1,0,,,,,,,,,105.0000,11.6200,"01/09/2002","31/12/2003"
"8567-1","Bionicle","Toa Nuva",2002,"Lewa Nuva",,37,4.99,8,,,,673419013840,8.8,18.4,8.8,,"",1,1,0,,,,,,,,,104.7200,11.5000,"01/09/2002","31/12/2003"
"8568-1","Bionicle","Toa Nuva",2002,"Pohatu Nuva",,40,4.99,8,,,,673419013857,8.8,18.4,8.8,,"",1,1,0,,,,,,,,,66.6600,10.7200,"01/09/2002","31/12/2003"
"8570-1","Bionicle","Toa Nuva",2002,"Gali Nuva",,44,4.99,8,,,5702014232617,673419015455,8.8,18.4,8.8,,"",1,1,0,,,,,,,,,111.6400,11.7000,"01/09/2002","31/12/2003"
"8571-1","Bionicle","Toa Nuva",2002,"Kopaka Nuva",,42,4.99,8,,,5702014232624,673419015462,8.8,18.4,8.8,,"",1,1,0,,,,,,,,,133.8800,15.2100,"01/09/2002","31/12/2003"
"8572-1","Bionicle","Toa Nuva",2002,"Tahu Nuva",,36,4.99,8,,,,673419015479,8.8,18.4,8.8,,"",1,1,0,,,,,,,,,162.7000,15.7800,"01/09/2002","31/12/2003"
"8573-1","Bionicle","Bohrok-Kal",2003,"Nuhvok-Kal",,41,4.99,8,,,5702014265707,673419018708,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,34.8600,15.8000,"01/03/2003","31/12/2003"
"8574-1","Bionicle","Bohrok-Kal",2003,"Tahnok-Kal",,41,4.99,8,,,,673419018715,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,112.7000,14.7700,"01/03/2003","31/12/2003"
"8575-1","Bionicle","Bohrok-Kal",2003,"Kohrak-Kal",,41,4.99,8,,,,673419018722,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,112.6400,18.0600,"01/03/2003","31/12/2003"
"8576-1","Bionicle","Bohrok-Kal",2003,"Lehvak-Kal",,41,4.99,8,,,,673419018739,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,108.9200,14.3900,"01/03/2003","31/12/2003"
"8578-1","Bionicle","Bohrok-Kal",2003,"Gahlok-Kal",,41,4.99,8,,,,673419018753,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,112.7000,14.8900,"01/03/2003","31/12/2003"
"8587-1","Bionicle","Rahkshi",2003,"Rahkshi Panrahk",,45,5.99,9,,,,673419018647,10.2,18.7,8.8,,"",1,1,0,,,,,,,,,41.3500,10.8500,"15/05/2003","30/06/2004"
"8588-1","Bionicle","Rahkshi",2003,"Rahkshi Kurahk",,45,5.99,9,,,,673419018654,10.2,18.7,8.8,,"",1,1,0,,,,,,,,,72.0500,11.2200,"15/05/2003","30/06/2004"
"8589-1","Bionicle","Rahkshi",2003,"Rahkshi Lerahk",,45,5.99,9,,,,673419018661,10.2,18.7,8.8,,"",1,1,0,,,,,,,,,35.0000,10.5900,"01/07/2003","30/06/2004"
"8590-1","Bionicle","Rahkshi",2003,"Rahkshi Guurahk",,45,5.99,9,,,,673419018678,10.2,18.7,8.8,,"",1,1,0,,,,,,,,,72.0400,11.0900,"01/07/2003","30/06/2004"
"8591-1","Bionicle","Rahkshi",2003,"Rahkshi Vorahk",,45,5.99,9,,,5702014265646,673419038935,10.2,18.7,8.8,,"",1,1,0,,,,,,,,,47.9800,10.8200,"01/07/2003","30/06/2004"
